name,rank,country,description
Tashkent State Technical University,1001–1200,Uzbekistan,"Tashkent State Technical University is one of the oldest universities in Uzbekistan and is located in Tashkent City.

There are eight faculties at the university, specialising in fields of engineering including: heat power engineering, oil and gas, electronics and automation, geological prospecting and mining metallurgy, engineering technologies, machine building, mechanics, and power engineering.

Although the university specialises in engineering, it offers a range of other courses for students to choose including corporate governance, biotechnology, general chemistry, information technologies, English, mathematics and land transport systems.

The university has agreements with over 70 universities across 15 countries including Germany, Australia, China, UK, Poland, Japan and Switzerland.The university participates in the Erasmus+ programme, where students can complete international exchanges."
Technical University of Madrid,1001–1200,Spain,"The Technical University of Madrid was founded in 1971, from the merging of different technical schools, although its origins date as far back as the 18th century and the reign of King Carlos the Third.

Originally established to teach architecture and engineering in the country, the institution has grown rapidly and is now home to over 41,000 students. It comprises 21 separate schools based on four campuses across Madrid, with its Moncloa Campus denoted as an 'International Campus of Excellence’, a distinction that acknowledges the quality of its research and teaching activity.

While the university’s courses have grown and adapted over the years to align with changes in industry, the institution has retained a strong technical focus and boasts several strategic partnerships with professional bodies and external research centres.

At the forefront of technical research, it lays claim to a number of specialist research centres of its own, including a solar power institute, a laser centre and institute for automobile research, while its engineering schools are consistently ranked among the best in Europe.

With a vibrant multicultural environment, students are encouraged to undertake one of the 400 study abroad programmes it has with higher education institutions in Europe and globally.

The 'double degree' programmes the university has in place also affords its engineering students the opportunity to attain a degree at an international university by combining their studies.

Madrid is a popular destination for students owing to its affordability in comparison to other European cities (money transfer service TransferWise ranks it the 118th cheapest city in the world to live in). As well as being the political, economic and cultural centre of Spain, it is also a relatively safe city, which is both lively and relaxed, modern and historic, offering students unparalleled access to art, nightlife, food, fashion and a dry climate."
Technische Universität Ilmenau,1001–1200,Germany,"Technische Universität Ilmenau is a research-strong public university in the centre of Germany with a long tradition in engineering and natural sciences.

Located in the central German region of Thuringia, Illmenau’s technical university has been in operation since 1894.

The university is divided into five departments: electrical engineering and information technology; computer science and automation; mechanical engineering; mathematics and natural science and economic sciences and media. It currently offers 19 bachelor’s degrees, 25 master’s and two diplomas.

Many of the university’s programmes are taught in English and the large number of registered patents per staff provides just one example of the university’s many innovative activities.

Students at Technische Universität Ilmenau enjoy a great supervision ratio, access to excellent facilities conducive to research-driven learning (including modern labs and makerspaces), and career counselling and events.

The student service we4you helps students to integrate into campus life. More than 100 nationalities are represented in the student body."
The Hashemite University,1001–1200,Jordan,"The Hashemite University (HU) is a governmental university that was established by a Royal Decree in 1991. It is located 25 km northeast of Amman, near a major international highway, and next to the largest free-trade zone in the country (Google Earth Map)

In 1995, HU started with three academic colleges and 600 students. Over the last 26 years, HU has improved its academic profile and research facilities. It includes15 facultiesthat offer 56 and 42 undergraduate and graduate programs, respectively, and comprise of 230 laboratories, all equipped with the latest technology. The University has expanded its infrastructure to match the expected increase in the students with a capacity to accommodate around 30,000 students with a total number of 95,000 graduates since establishment.

The University has adopted the UN sustainable development goals through implementing renewable and sustainable energy. For instance, HU established the national seed bank project,the solar energy project, modern green building and the smart campus, andthe desalination plant.

HU Grid-ConnectedProjectwith 5 MWp is part of the University renewable energy and energy efficiency strategy. The project helps to achieve 100% energy independence for the University. As it  provides more than 8 GWh of electricity annually, which helps in improving the environmental aspects in HU by  eliminating more than 3,700 tons annually of CO2 from being released into the air. Which makes HU have a remarkable role and ethical commitment towards its community and stakeholders in environmental sustainability.

The National Seed Bank (NSB) is a non-profit with 6 million $USD budget research center aiming to conserve the local natural plant heritage (more than 2600 wild species) in the form of seeds with a focus on genetic resources for food and agriculture, and to make it available to researchers and breeders locally, regionally, and globally. NSB is projected to help in improving food security through performing scientific research to develop plants that can adapt to climate change that is negatively affecting the already harsh environment.

The brackish water desalination station, in which saline water is desalinated according to the most advanced technology (Advanced Membrane Technologies). It has a production rate of 83 cubic meters per hour, which is three times the consumption of the University. The station is one of the most distinguished stations locally and regionally to produce potable water and irrigation. It depends on solar energy that is produced by the University. The station includes a teaching and research hall, and electronic water quality monitoring systems. It is linked to evaporation ponds for the return of water from the station to conduct further scientific research on the salts in the ponds and establish a factory for water bottles and bottling bottles.

Furthermore, in terms of the promising and prominent academic institution, HU is committed to actively participate in achieving the goals of the comprehensive national development. Through preparing a loyal generation who are not only technically competent in their professional fields, but who are also life-long learners with broad visions, loyal to their nation, devoted and responsible to the fundamental values of humanity.

HU was granted several local and international recognition from different authorities such as; theJordanian accreditation and quality assurance commission for higher education, Accreditation Board for Engineering and Technology (ABET), Medical Education and Research (FAIMER), American Medical Residency Certification Board (AMRCB), the Medical Board of California(MBC), The National Architectural Accrediting Board (NAAB), and The World Federation of Occupational Therapists (WFOT).

Finally, HU achieved multiple local and international awards including the Medal of Independence (First degree),Emirates Energy Award(Golden Prize), andPrince El Hassan Bin Talal Award for Scientific research."
The New School,1001–1200,United States,"The New School is a private, avant-garde university based in Greenwich, New York City, and founded in 1919. In 1933, its graduate school became the University in Exile - a haven for scholars fleeing anti-intellectual regimes such as fascist Italy and Nazi Germany. For these reasons, as well as due to a conflict at Columbia University in New York, the school is associated with outstanding figures such as economist Thorstein Veblen, psychologist Erich Fromm, political philosopher Hannah Arendt and Leo Strauss and philosopher Hans Jonas.

The New School’s uniqueness comes from the combination between a world-famous design school - Parsons School of Design - with a highly regarded liberal arts college - Eugene Lang College of Liberal Arts and College of Performing Arts as well as renowned graduate programmes.The university puts emphasis on the collaboration between journalists with designers, architects with social researchers, media specialists with activists, poets with musicians. The schools are based in New York City, Paris, Shanghai, and Mumbai.

Its 135 undergraduate and graduate degree programmes cover art and design, social science, liberal arts, management and public policy, media, and performing arts. As a student, you have the freedom to design your own course and specialise later on. Courses available include Hip Hop: Skill, Style, Science, Origins of the Crisis in the Eurozone, Urban Environmental Health, Heterodox Identities, Punk and Noise, Games 101.

Some outstanding alumni include fashion designer Donna Karan, actor Bradley Cooper, jazz drummer Ali Jackson, designer Marc Jacobs, Ana Oliveira, President of New York Women’s Foundation, actor Marlon Brando (attended for one year), opera singer Frederica von Stade, Chief Creative Officer at Google Robert Wong, advertising executive Richard Silverstein and Jeanine Liburd, Executive Vice President at Black Entertainment Television."
The University of Haripur,1001–1200,Pakistan,"Located in Pakistan’s Khyber province, The University of Haripur was founded in 2008 as a campus of Hazara University.

It become a university in its own right in 2012.

There were just two faculties when the university was founded: social and administrative science and basic and applied science.There are now five faculties agricultural science, biomedical and health science, information technology and engineering, natural science and social and administrative science. This has been accompanied by substantial investment in infrastructure and faculty.

New courses include Pakistan’s first degree in medical laboratory technology.

The university also provides training sessions for local farmers in new agricultural technology.  The University of Haripur is also a member of the recently-formed China-Pakistan Traditional Medicine and Infectious Diseases Prevention and Control Alliance."
Tishk International University,1001–1200,Iraq,"Tishk International University (TIU) was officially founded in 2008. It was previously known as Ishik University, in Erbil, Kurdistan Region, Iraq. The university is owned by local and international investors and educators and is also a member of the Union of Arabic Universities.

Initially, the university offered an English prep programme, and it gradually expanded to offer various bachelor's degrees. Over the years, the campus has grown, and several faculties were established to cater to different fields of study.

Tishk International University emphasises internationalisation and has taken several measures to enhance global engagement. It employs international staff members and welcomes international students from all over the globe.

The academic programmes cover a diverse range of disciplines, including dentistry, pharmacy, nursing, engineering (civil, interior design, computer, mechatronics, petroleum and mining, surveying and geomatics), law, business and management and international relations. The language of instruction is predominantly English, except for the law programme, which is taught in Arabic.

The university has collaborated with more than 50 universities worldwide, fostering academic partnerships and student-exchange programmes. The university's Sulaimani campus branch was set up to cater to students in the engineering and business faculties. There are also a few academic and specialised centres, such as the TOEFL centre, research centre, and engineering consultation bureau, to enhance research and scientific consultations.

Tishk International University places great importance on social activities, acknowledging their significance in offering students opportunities for personal development and relaxation. The university actively supports various student clubs, promoting social responsibility, environmental awareness and overall wellbeing. Collaboration across different departments ensures a vibrant and fulfilling experience for students."
Tokyo Medical University,1001–1200,Japan,"In May 1916, 450 students from Japan Medical College (now Japan Medical University) resigned en masse because of a conflict with the administration and set about trying to establish a new school by renting classrooms at the Tokyo Academy of Physics. They later set up the Tokyo Medical Teaching Establishment, which became Tokyo Isen and then Tokyo Medical University in 1946. It is now considered one of the most prestigious medical universities in Japan. In accordance with the national policy for medical education, this private university has a six-year medical school curriculum whereby students partake in preclinical and clinical studies, which amount to a bachelor’s or graduate degree. Students are then qualified for the national medical licensing exam. TMU also has a postgraduate school offering PhDs. There are 1,322 students and 4,171 academic and administrative staff. Founded in 1931, the Tokyo Medical University Hospital is a tertiary care teaching hospital affiliated with TMU. It is located in Nishi Shinjuku, a new centre of Tokyo. It has 904 beds and a medical staffing body of 2,703. Collaborating with the World Health Organization (WHO) and the Department of Preventive Medicine and Public Health, TMU works to address noncommunicable diseases and mental health issues. The WHO Collaborating Center for Health Promotion through Research and Training in Sports Medicine opened in 1991 and is working on building healthy communities and populations in Japan. The university is located in Shinjuku, Tokyo, which is a major commercial and administrative centre, which houses the northern half of the busiest railway station in the world, Shinjuku Station, and the Tokyo Metropolitan Building, the administration centre for the government of Tokyo."
TU Bergakademie Freiberg,1001–1200,Germany,"Founded in November 1765, TU Bergakademie Freiberg (TUBAF) is the world’s oldest mining and technology university. It became a full-fledged technical university under its current name in the 20th century and is now overseen by the Ministry of Science, Culture and Tourism of the Free State of Saxony.

Located in Freiberg, a historic mining town in eastern Germany’s Erzgebirge region, TUBAF plays a central role in the regional economy and is internationally recognised for its focus on sustainable resource technologies.

The university is organised into six faculties: mathematics and computer science, chemistry, physics and bioscience, geosciences, geoengineering and mining, mechanical, process and energy engineering, materials science and technology, and business administration. It offers bachelor’s, master’s, and doctoral programmes, including several English-taught master's degrees in fields such as sustainable mining, geoengineering, and advanced materials.

Education at TUBAF is strongly linked to practical experience and research. Students benefit from partnerships with global industry leaders, labs, and access to facilities like the Research and Teaching Mine ""Reiche Zeche,"" which supports training and applied science in real mining environments.

Research is integral to TUBAF's mission and is conducted in specialised institutes and interdisciplinary centres. Key focus areas include raw materials exploration, energy systems, environmental technologies, and circular economy solutions.

Committed to regional and global responsibilities, the university is the region’s largest employer with workforce comprising of academic staff, researchers, and technical specialists. It also supports the preservation of Freiberg’s UNESCO-listed Erzgebirge mining landscape."
Universidade Federal de Santa Catarina,1001–1200,Brazil,"The Federal University of Santa Catarina (UFSC) was founded in 1962 as a unison of pre-existing colleges in Santa Catarina, a state in southern Brazil. The oldest of these is the Centre of Juridic Sciences which was opened in 1932.

There are now 11 campuses at UFSC, in Centres of Education from Health Sciences to Physics and Mathematics. The university is focused in the state capital, Florianópolis. This is an island city, with 42 beaches and an internationally reputed surfing location.

The city was named byNewsweekas one of its 10 most dynamic cities in the world. There are also campuses in the Brazilian cities of Araranguá, Curitibanos and Joinville, all in Santa Catarina.

The majority of courses offered at UFSC are in undergraduate degrees, though the university also has established research and doctoral facilities. The undergraduate courses requiring the highest entry grades are medicine, chemical engineering and mechanical engineering.

In its role as a premier research facility in Brazil UFSC is a part of EURAXESS, working with the European Commission to allow doctoral students to study overseas. Those participating in study abroad and exchange programmes at UFSC can find administrative and academic assistance at the university’s International Office.

UFSC offers Portuguese as a foreign language teaching to all international students, with a separate admissions process for Brazilian indigenous students.

Brazilian universities pride themselves on their work with the community around them. One aspect of UFSC’s outreach is known as SPEX week, when the university’s demonstrates to local residents the work being done in Teaching, Research and Education.

Esteemed persons to graduate from UFSC are civil engineer Daniella Abru and lawyer Clèmerson Merlin Clève."
Universidad Peruana Cayetano Heredia,1001–1200,Peru,"Since its founding in 1961, Universidad Peruana Cayetano Heredia (UPCH) has been committed to academic excellence in Higher Education and scientific research, earning regional and worldwide recognition as the leading Peruvian university in health and life sciences.

UPCH's current undergraduate academic offer comprises 31 professional programs in Health, Science, Engineering, Administration, Veterinary, and Education. In addition, the Postgraduate School offers 76 master's degree programs, 11 doctorate programs, 134 specialty programs, and continuing education courses for lifelong learning.

The educational model has five pillars: 1) Inclusion towards diversity, 2) Internationalization, 3) Interdisciplinarity, 4) Social Responsibility, and 5) Research, entrepreneurship, and innovation.Besides actively participating in international university consortiums, such as the Hemispheric University Consortium (HUC), CINDA, and the Red de Educación Continua de Latinoamérica y Europa (RECLA), UPCH has over 270 international agreements with renowned institutions, which are strategic allies in the search for new knowledge and opportunities for academic and institutional growth. Intense collaborative research with the world's leading universities and research centers, like the National Institutes of Health (NIH), Harvard University, Yale University, University of Sao Paulo (USP), National Institute for Health and Care Research (NIHR), Johns Hopkins University, and the State University of Campinas (UNICAMP), generates scientific publications and products that contribute significantly to the institution´s prestige.

Times Higher Education ranks UPCH No. 1 in Peru and No. 35 in LATAM 2022.

Cayetano Heredia has over 10,369 students: 7479 (72%) undergraduate and 2,890 (28%) graduate students. Over 25,000 alumni are working in Peru and abroad."
Universitas Sebelas Maret,1001–1200,Indonesia,"Universitas Sebelas Maret (UNS) was established in 1976 and in 2009 it became a Public Service Institution.

Academically the university is organised into 11 faculties: cultural studies, law, social and political sciences, teacher education and education services, economics and business, engineering, medical sciences, agriculture, maths and science, art and design and sports. There is also a vocational school as well as a postgraduate school.

There are a range of courses available for students to study including 20 doctoral programmes, 46 masters programmes, 14 medical specialist education programmes, four professional programmes, 66 undergraduate programmes, and 29 vocational school programmes.

Outside the classroom there are 32 student organisations at university level and more at faculty level. The Student Activity Unit oversees these organisations, which are divided into four main areas: interest and ability, religion, sport, and leadership. Students are given the opportunity to pursue a range of interests such by joining the students’ choir, the marching band or the students press board, to name a few.

The university is committed to implementing the ""UNS ACTIVE"" work culture. This consists of achievement orientation, customer satisfaction, teamwork, integrity, visionary and entrepreneurship. By taking these six steps the university hopes to become an international centre of development for the arts, science and technology.

The university is located in Surakarta, a city in central Java, Indonesia. The city is home to a number of historical buildings dating back to the 18th century such as a prince’s court, a Dutch fort and a palace. Surakarta is also the country’s educational and cultural centre, marked by its numerous libraries and museums. Students can discover what the city has to offer in their spare time."
Universitat Internacional de Catalunya,1001–1200,Spain,"Universitat Internacional de Catalunya (UIC Barcelona),founded in 1997, is a private, non-profit university based on Christian humanism.

UIC Barcelona with campuses inBarcelonaandSant Cugatoffers a wide range ofundergraduateandpostgraduateprograms  in health sciences, architecture, communication, law, education, economics, and humanities, combining academic rigor and professional relevance.

Researchis a core pillar at UIC Barcelona. The university fosters interdisciplinary and applied research with impact in fields such asbiomedicine, dentistry, sustainable architecture, cultural management, and social sciences. Collaborations with businesses, public institutions, and international partners enhance its global research profile and ensure knowledge transfer to society and also it has multipleresearch institutessuch as the University Institute for Patient Care, Institute for Culture and Thought, Institute of Advanced Family Studies, Bioengineering Institute of Technology and the Research Institute for Evaluation and Public Policies.

UIC Barcelona is also strongly committed tosustainabilityacross teaching, research, and campus initiatives. Projects on sustainable cities, health and well-being, and social inclusion illustrate its contribution to addressing global challenges.

With a diverse and international community of students and faculty, UIC Barcelona provides a multicultural learning environment and multiple career opportunities. Guided by a humanistic  vision and ethical principles, the university prepares professionals capable of leading change in an interconnected and sustainable world."
Université Bourgogne Europe,1001–1200,France,"Situated in the picturesque city of Dijon in eastern France, the University of Burgundy has a centuries-old historical and cultural heritage.

The university traces back its origins to the foundation of the Dijon faculty of law in 1722, under King Louis XV, with the faculties of Science, Arts and Medicine being established between 1805 and 1809. Since then, the University of Burgundy has grown to six campuses: the main one, Dijon, just 10 minutes from the city centre; Le Creusot, an hour away; Nevers, west of Burgundy; Auxerre, north of Burgundy; Chalon-sur-Saone, further south; and finally Mâcon, under an hour away from Lyon.

While it is under two hours by train from the French capital Paris, many will be attracted to all that Dijon itself offers. Its city centre is a UNESCO World Heritage site. Renowned for its cuisine, Dijon welcomes thousands of visitors each year who flock to the International Gastronomy Fair. History and culture, particularly museums, form a crucial part of this city’s identity.

Most of the degrees are taught through French, but some are available in English. Students and teachers can attend tuition classes, intensive courses or evening classes at the Centre for French Studies to improve their language skills, and over 1,500 do so each year. There is also a strong international community with over 200 partner universities.

Among its celebrated alumni are former deputy director of MI6, George Kennedy Young; Nobel Prize for Medicine winner Roger Guillemin; author and critic Lawrence Clark Powell; writer Mohammad-Ali Jamalzadeh and politician Rachida Dati."
Universiti Malaysia Sarawak (UNIMAS),1001–1200,Malaysia,"Universiti Malaysia Sarawak (UNIMAS) began its story in 1993 with the enrolment of 118 students to become Malaysia's eighth and Sarawak’s first public university. We started with two faculties, the Faculty of Social Sciences and the Faculty of Resource Science and Technology. Now UNIMAS has 10 faculties with 92 programmes, with more than 15,000 undergraduate and graduate students. Our international community comes from more than 50 different countries around the world.

UNIMAS is in an ideal position to make a difference. Our location in Sarawak, Borneo - the heart of the Malay Archipelago and a pivotal location for scientific explorations of species - enables our campus community to experience the island's rich tangible and intangible heritage. The Sarawak capital city, Kuching, is a bustling melting pot situated around 30 minutes away from the campus.

Our educational ecosystem of renowned subject matter experts, innovative research, and state-of-the-art facilities is ever ready to mould tomorrow's leaders. Our pledge to give back to the society is consistently strengthened through persistent development of impactful and beneficial community-inspired projects, establishing UNIMAS as a community-driven University. Our strategic engagements with international partners continuously contribute towards the fulfilment of globally shared goals.

Community-driven University(http://www.usc.unimas.my/)

Universities are not separate from the community they reside in. For UNIMAS, our community is an essential part in shaping our aspiration, identity, and research purposes.

Strategic Partners and Collaborations(https://www.unimas.my/collaborations)

International Student Recruitment(https://www.unimas.my/admission/international)

Adjusting to Life in Sarawak, Malaysia

As the country’s second language, English is widely-spoken in Malaysia. In UNIMAS, programmes are also taught in English. International students have the opportunity to brush their English through courses that we offer at the University.

In addition, international students are highly encouraged to participate in the following:

International Student Welfare(https://www.global.unimas.my/admission)

International Mobility Programmes(https://www.global.unimas.my/mobility-programme)

Summer Programmes, EduTour Programmes, Webinars, Internship, Research Attachments, etc.

Minimum – 1 semester; Maximum – 2 semesters.

Scholarships

The UNIMAS International Scholarship Award (UISA) is an initiative by the University to attract deserving international students who demonstrate excellence in academic and extra-curricular backgrounds from around the world to pursue their studies in UNIMAS.

Accommodation & Facilities(https://www.unimas.my/living-it-up)

Shuttle bus, residential colleges, sports complex with an Olympic-sized swimming pool, kayak recreational facilities, etc.

International Student Chapter:An international student body as a platform for discussion and international student event planning. The ISC gathers representative from every country.

Continuous Improvement (Barometer Survey):Obtains feedback from international students for improvement in decisions. Feedback includes students’ overall satisfaction, pre-arrival preparation, decision-making to study in UNIMAS, application, arrival, learning, living, housing, support services, and after studies plan. The survey is done annually.

Global Hub:Serves as a one-stop-centre to provide support services such as visa, students’ welfare, scholarships, and overall well-being during their studies in UNIMAS.

Our 2021-2025 Strategic Planning(https://www.fmhs.unimas.my/images/2020/Documents/Perancangan_Strategik_UNIMAS_2021_-_2025.pdf)

The Strategic Plan 2021-2025 is an ambitious articulation of our vision for UNIMAS to be a leading global university and to strengthen our position nationally, with strong foci on a sustainable future. The Strategic Plan is founded with the purpose of creating an environment in which highly talented people can thrive.

Our Research(https://www.unimas.my/research)

The knowledge discovery initiatives at UNIMAS are premised upon the wealth of natural resources and diverse socio-cultural make-up of the State of Sarawak. While UNIMAS is strong in biodiversity study, this and most of other research activities at this university are firmly based on contemporary technologies. Therefore, UNIMAS’ focus and strength are identified in the following establishment of these faculties, research centres and institutes:

12 Faculties/Centres/School

9 Research Centres

6 Research Institutes"
Universiti Malaysia Terengganu (UMT),1001–1200,Malaysia,"Universiti Malaysia Terengganu was first established as Universiti Pertanian Malaysia’s Centre for Fisheries and Marine Science. It was designed for students and lecturers from the Fisheries and Marine Science programmes to put their theory into practice. In 1996 the centre became a branch campus and was renamed Universiti Pertanian Malaysia Terengganu. It wasn’t until 2007 that the university was renamed Universiti Malaysia Terengganu.

The university is located in Kuala Nerus District, Terengganu, a state on the eastern coast of West Malaysia.

There are five faculties at the university: the faculty of maritime studies, faculty of science and marine environment, faculty of ocean engineering technology and Informatics, faculty of fisheries and food science, and the faculty of business, economics and social development. Each faculty offers a range of both undergraduate and graduate degree programmes. There is also the Centre for Foundation and Continuing Education, which is divided into five departments.

Research is carried out in the university’s four institutes: the Institute of Oceanography and Environment, Institute of Tropical Aquaculture and Fisheries, Institute of Marine Biotechnology, and the Institute for Tropical Biodiversity and Sustainable Development. There are also three research centres: the Centre for Research and Innovation Excellence Planning, Centre for Research and Innovation Management, and the Centre of Research Field Service.

The university publishes its research findings in various scientific and research journals such as the Journal of Sustainability Science and Management and the Journal of Business and Social Development."
Universiti Sultan Zainal Abidin,1001–1200,Malaysia,"The Universiti Sultan Zainal Abidin (UniSZA) was originally established in 1980 as an Islamic educational college, known as Kolej Ugama Sultan Zainal Abidin. In 2005, it was granted full university status and became Universiti Darul Iman Malaysia. The university was renamed Universiti Sultan Zainal Abidin in 2010 to acknowledge its historical background.

It is situated in the state of Terengganu, on the east coast of Malaysia. This region possesses a distinctive cultural identity that draws an increasing number of visitors annually. Tourists are captivated by its rich traditional arts, culture, and Malay heritage.

The university comprises three campuses across Terengganu: the Gong Badak Campus, the Medical Campus, and the Besut Campus.

Academically, the university is organised into 12 faculties: the faculty of medicine, faculty of applied social sciences, faculty of business and management, faculty of innovative design and technology, faculty of pharmacy, faculty of informatics and computing, faculty of Islamic contemporary studies, faculty of law and international relations, faculty of health sciences, faculty of bioresources and food industry, faculty of languages and communication, and the faculty of general studies and advanced education. Each faculty is divided into various departments, offering a wide range of undergraduate and graduate degree programmes.

There is also the Centre of UniSZA Science and Medicine Foundation.

Two centres of excellence exist within the university: the East Coast Environmental Research Institute and the Research Institute for Islamic Products and Malay Civilization."
Universiti Tunku Abdul Rahman (UTAR),1001–1200,Malaysia,"Universiti Tunku Abdul Rahman (UTAR) is one of the leading progressive private universities in Malaysia. The University was established in 2002 as a not-for-profit private university and is wholly-owned by the UTAR Education Foundation.

With the first intake of only 411 students in one campus in 2002, the university now has more than a total of 24,000 students in 2 campuses.

UTAR has graduated over 56,000 students since its inaugural convocation in 2005 and has made impressive strides in establishing a strong reputation as a comprehensive University with dedication to achieving excellence in teaching and research. The University was awarded self-accreditation status by the Ministry of Higher Education in 2017, an indication of UTAR’s quality and efficient administration of its programmes and operations.

Its diverse range of quality and industry-focused programmes are all approved by the Ministry of Higher Education (MOHE).  UTAR’s programmes have also received accreditation from more than 20 international and Malaysian professional bodies.

The University is committed to promoting research and scholastic developments in diverse fields through its Research, Development and Commercialisation (RDC) initiatives, its 32 research centres and the UTAR Global Research Network. The UTAR Undergraduate Research Scheme (URS) was initiated to allow undergraduates undergo a structured programme to train them in various aspects of research project implementation.

To date, the University has established formal collaborations with over 330 educational institutions and industry corporations, both local and overseas, to facilitate international exchanges, research and training."
University of Algarve,1001–1200,Portugal,"The University of Algarve (UAlg), founded in 1979, is in the touristic Algarve region in southern Portugal. It was formed through the merging of the University of Algarve and the Polytechnic Institute of Faro.

Still today, faculties and schools of both institutions co-exist in UAlg’s four campuses. Three of these campuses are in the city of Faro and while the other is in the town of Portimão. The Saude Campus at the entry to the city of Faro has newly built facilities for the Faro School of Health, which was incorporated into the university, then known as the Faro School of Nursing, in 2003. The Portimão campus, in the second largest city in Algarve, was created because of the need for decentralisation. Each campus has its own library.

UAlg teaches across six subject areas: arts; literature and history; engineering sciences; life, earth, marine and environmental sciences; medicine and allied sciences; social, education and professional training sciences; and economics, management and tourism.

The Student Union offers students free water sports such as canoeing, windsurfing and sailing at the Nautical Sports Centre at Faro Island (Centro Náutico da Ilha de Faro). Other sporting events include the Sports Festival of exhibitions and workshops, held in downtown Faro in September, and the Snow Campus, a skiing and snowboarding event in winter.

Research at UAlg is carried out in several research centres: Molecular and Structural Biomedicine; Marine Sciences; Electronics, Optoelectronics and Telecommunications, Arts and Communication; Spatial and Organisational Dynamics; Marine and Environmental; and Chemistry."
University of Alicante,1001–1200,Spain,"The University of Alicante (Universitat d’Alacant in Valencian) (UA), is a public institution on the Mediterranean coast, in San Vicente del Raspeig, an area in the city of Alicante, Spain. It was established in 1979, inheriting the legacy of the University of Orihuela, established in 1545 by Papal Bull, which existed for two centuries until 1808.

The university classifies itself bilingual, striving to be international. While almost all classes are taught in Spanish, some computer science and business degrees, as well as a graduate programme in economics, and some PhDs, are taught in English, and a few others are taught in Valencian. Many cultural activities are taught in English, French and other languages. Spanish language courses are available throughout the academic year and into the summer.

The 1 km2 modern Campus of San Vicente del Raspeig is situated on the old site of a 1930s aerodrome, and the university has repurposed its pavilions, adding modern buildings through the 1980s and 1990s.

There are also several university buildings throughout the province of Alicante, many of them located in heritage sites, which are used for seminars, conferences, and other activities.

The Science Park of Alicante, built in 2006 next to the main campus, was conceived as a place for innovation, to encourage relations between the university, research institutions, and companies, boosting the transfer of technology.

In its short existence, UA has already produced quite a number of notable alumni, such as Ignacio Fornés Olmo, popularly known as Nach, who is considered one of the best Spanish-speaking rappers in the world. Various students have also become leading politicians, such as José Luis Lassaletta, who was the mayor of Alicante throughout the 1980s."
University of Almería,1001–1200,Spain,"Created by the Parliament of Andalucía in July 1993, the University of Almería (UAL) campus is located six kilometres from the large town of Almería (population: 50,000-249,999) on the south-eastern coast of Andalucía.

The aim of this public university is to activate social change, through economic, cultural and social development of Almerían society, delivering the teaching staff and methods that best fit its historical, economical, and cultural profile.

There are eight teaching colleges: health sciences, economics and business studies, natural sciences, education, law, experimental science, humanities and psychology. UAL’s research work is linked largely to its financial milieu, with a particular focus on solar energy, agriculture and water management.

Some 5 per cent of the student body is made up of international students. All of them are offered a 60-hour Spanish language course before they begin their studies.

The University of Almería’s Polyphonic Choir was founded in 1994 and is made up of university students, led by José Luis Martínez (previously director of Almería’s Vírgen del Mar Choir). Studying, interpreting and diffusing polyphonic choral music of all styles and eras, the choir also takes part in musical outreach programs in conjunction with Almería City Council, Almería Province Council, and the Ministry of Culture of Andalucía. The choir travels all over Spain to perform and has featured in several television shows, as well as having its own CD.

One of the big draws of UAL is its location – it lies below a Moorish fortress, the Alcazaba, and at the foot of a mountain range. The city of Almería itself boasts a bustling port and an historic old town. The semi-arid desert climate means it receives the most sunshine (almost 3000 hours annually) and the least rainfall in Europe. There are several idyllic beaches, natural parks and typical Andalucían villages to visit in the region."
University of Angers,1001–1200,France,"The University of Angers is a public university located in the city of Angers, western France with campuses located in the in cities of Cholet and Saumur.

The university has a rich history which dates back to as early as 1337. The university was re-established in its modern form in 1971.

The University of Angers offers a wide range of undergraduate and graduate programmes across various disciplines such as humanities, sciences, health, law, business, and engineering.

The main campus is situated in the heart of Angers, a city renowned for its historical heritage and vibrant cultural scene. The campuses host different modern facilities such as classrooms, advanced laboratories, extensive libraries, student residences, and sports facilities."
University of Bahrain,1001–1200,Bahrain,"The University of Bahrain (UoB) was established in 1986 and is the first national university in the Kingdom of Bahrain. UoB has a mandate to lead the nation in terms of human capital development, leading innovation, contributing to economic development and leading society.

UoB is educating more than 30,000 students and has graduated over 90,000+ graduates. With accredited programs and collaboration with regional and international organizations and universities, UoB has a vision to become a world-class university that is recognized as a teaching, research, and entrepreneurial institute.

UoB has two campuses that house nine colleges (Arts, Business Administration, Engineering, Information Technology, Science, Law, Teachers College, Applied Studies, Health and Physical Education Sciences) in addition to six international centers, a regional research center for renewable energy, Artificial Intelligence Lab, IOT and Cloud Innovation center. UoB has also teaching and leadership unit to advance teaching methods and curricula. UoB is one of only four universities that are global partners of the Higher Education Academy (HEA); this is global recognition of UoB’s teaching and learning quality and standards.

The University has a clear focus on a number of areas that are key to its success. Targeted and innovative approaches to research through international and industry collaboration which promotes its reputation both regionally and beyond. The University of Bahrain has significant international reach and global standing through its students and graduates, research and academic partnerships. Technology is key not only to enhance teaching and learning but also to create a SMART campus that is fitting with the digital age that we now live in. The University of Bahrain is central to the economic growth of Bahrain through offering programs and courses that are aligned with the national economic strategy whilst also ensuring sustainability through operating as a commercial and entrepreneurial university."
