name,url,rank,region,country,description
Universidad Nacional Costa Rica,https://www.topuniversities.com/universities/universidad-nacional-costa-rica,1333,Latin America,Costa Rica,"Universidad Nacional Costa Rica is a public university in the Republic of Costa Rica, in Central America. The main campus is located in the city of Heredia. It is one of five public universities in the country and the second most prestigious. More than 12,000 students study at its main campus. In addition to undergraduate programs, it offers 16 Master of Arts degrees and is strong in ecology, sociology and education related coursework.

UNA offers more than 65 graduate and postgraduate degree programs in various fields, such as natural sciences, earth and marine sciences, education, social sciences, health sciences, philosophy, literature and arts"
Universidad Peruana de Ciencias Aplicadas (UPC),https://www.topuniversities.com/universities/universidad-peruana-de-ciencias-aplicadas-upc,1334,Latin America,Peru,
Universidad Tecnológica Nacional (UTN),https://www.topuniversities.com/universities/universidad-tecnologica-nacional-utn,1335,Latin America,Argentina,"Universidad Tecnológica Nacional, UTN is a country-wide national university in Argentina, and considered to be among the top engineering schools in the country. Hosting over 75,000 students, its student body is comparable to Argentina's third-largest university. It has 29 semi-independent branches of various sizes located all over the country.

The engineering programs taught at most of those locations are:"
Universidad Tecnológica de Panamá (UTP),https://www.topuniversities.com/universities/universidad-tecnologica-de-panama-utp,1336,Latin America,Panama,"The second-largest university in Panama, Universidad Tecnológica de Panamá (UTP) has seven campuses nationwide. The main one of these spans 60 hectares and is located in Panama City, the nation’s capital. Ranked joint 119th in Latin America in the QS World University Rankings by Region 2019, the university is comprised of six faculties: Civil Engineering, Electrical Engineering, Industrial Engineering, Mechanical Engineering, Computer Systems Engineering, and Science and Technology."
Universidad de La Frontera (UFRO),https://www.topuniversities.com/universities/universidad-de-la-frontera-ufro,1337,Latin America,Chile,"Ubicada en Temuco Chile, la Universidad de La Frontera se fundó en 1981 y alberga seis colegios y facultades. La universidad ofrece 46 títulos de pregrado, 12 programas de doctorado y 31 programas de maestría."
Universidad de Las Américas Ecuador,https://www.topuniversities.com/universities/universidad-de-las-americas-ecuador,1338,Latin America,Ecuador,"Universidad de Las Américas (UDLA) is a private, non-profit institution of higher education in Quito, Ecuador.   Founded in 1994, UDLA has established itself as a university that embraces change with a spirit of innovation and a forward-looking institutional culture that responds to student´s needs and a dynamic global society.

From its early days, UDLA has grown to the largest self-financed university in Ecuador, with four state-of-the-art facilities plus an experimental farm and an ever-increasing presence in research.   Today the university serves around 17,000 students in more than 60 undergraduate and graduate programs across the disciplines: health sciences, engineering, architecture and design, business, gastronomy, communication, tourism, psychology, film, and music.

UDLA is the only Ecuadorian university to hold institutional accreditation from a U.S. regional accrediting agency, WASC Senior College and University Commission (WSCUC).  UDLA offers six-month exchange programs to international students who are fluent in Spanish and seeking to spend a semester in Ecuador, as well as the chance to apply for full degrees at UDLA from overseas."
Universidad de Lima,https://www.topuniversities.com/universities/universidad-de-lima,1339,Latin America,Peru,"With over 60 years of academic excellence,Universidad
de Limadelivers innovative, scientific and interdisciplinary education
designed to shape the next generation of leaders committed to the welfare of
society. It promotes innovation and creation of solutions that address both
local and global challenges, driven by a business-oriented vision that fosters
ethics and responsibility. Built on four key pillars—innovation and research,
internationalization, sustainability, and business partnerships—Ulima model is designed
to drive educational achievement and help students succeed in their careers.

The University engages its community in innovative
projects with social, economic, and environmental impact through centers and
institutes such as the Sustainability Center (Responde Ulima), Scientific
Research Institute (IDIC), Center for Entrepreneurship (Innova Ulima),
Technological Observatory, and Economic, Financial, and Social Observatory.

Students have the opportunity to participate in
exchange programs with over 170 universities across 26 countries in America,
Europe, Asia, and Oceania. They can also earn a second international bachelor’s
degree from prestigious universities in France, United Kingdom, and Australia.

For more information, clickhere."
Universidad de Los Andes - (ULA) Mérida,https://www.topuniversities.com/universities/universidad-de-los-andes-ula-merida,1340,Latin America,Venezuela,"Universidad de Los Andes is the second-oldest university in Venezuela, whose main campus is located in the city of Mérida, Venezuela. ULA is the largest public university in the Venezuelan Andes, having one of the largest student bodies in the country.

ULA was initially established as a Catholic seminary on March 29, 1785 by the Bishop of Mérida, Friar Juan Ramos de Lora.

Currently, Universidad de Los Andes operates two campuses in Mérida, with about a dozen faculties spread throughout the city, as well as two satellite campuses in the other Venezuelan Andean states of Tachira and Trujillo."
Universidad de Monterrey (UDEM),https://www.topuniversities.com/universities/universidad-de-monterrey-udem,1341,Latin America,Mexico,"Universidad de Monterreyis a private institution of higher education that offers an education of excellence with values. It has international acknowledgements such as the Southern Association of Colleges and School Commission on Colleges, the Association to Advance Collegiate Schools of Business, the Association of MBAs accreditations and is ranked number 3 in Mexico for its contribution to the Sustainable Development Goals.

UDEM has a population that exceeds 16,000 students. Currently, it offers 46 academic programs at the bachelor's level, 18 master's programs, 13 graduate specialties, 1 doctorate and 37 medical specialty programs."
Universidad de Valparaíso (UV),https://www.topuniversities.com/universities/universidad-de-valparaiso-uv,1342,Latin America,Chile,"The University de Valparaíso is a state institution, public and autonomous, based on a long tradition and his mission is to generate and disseminate knowledge cultivating science and technology, humanities and arts, through the development of programs for undergraduate, graduate and research, providing skills to train graduates, professionals and researchers that society requires, in a frame of quality management and commitment to regional and national development.

The values that inspires are participation, solidarity, equity, freedom, pluralism, critical thinking and respect to diversity.

In this university are developed activities of education, research and extension in all the 11 faculties; we have 43 Undergraduate programs, 25 Magister programs, 10 Doctorate programs, 28 Medical specialities and 9 Dentistry specialities, in order to satisfy completely its 17thousands students and the necessities and interests of the country and mainly of the Valparaíso region."
Universidad del Desarrollo (UDD),https://www.topuniversities.com/universities/universidad-del-desarrollo-udd,1343,Latin America,Chile,
Universidad del Norte ,https://www.topuniversities.com/universities/universidad-del-norte,1344,Latin America,Colombia,
Universidad del Valle de Guatemala (UVG),https://www.topuniversities.com/universities/universidad-del-valle-de-guatemala-uvg,1345,Latin America,Guatemala,"Universidad
del Valle de Guatemala (UVG)is one of the most prestigious universities in Central America. We are
at the forefront of technology and committed to advancing high-level research
and teaching.  We
are proud to be the only university in Guatemala included in theQS World
University Rankings 2026: Top global universities, as well as the only one
with international institutional accreditation from Hcéres.

Since 1966,
we have welcomed talented individuals who aspire to become agents of change. We
offer a distinctive educational model that integrates a strong liberal arts
foundation with specialized training in science, technology, innovation,
education, and business. Our academic programs, research agenda, and community
engagement initiatives are aligned with the evolving needs of society and
promote creative solutions to the most pressing challenges of our time.

We
understand the urgency of driving meaningful change, which is why our
forward-thinking educational model is focused on competency development and
active, collaborative learning. This approach is brought to life through
hands-on projects with industry partners, a strong emphasis on innovation, a
thriving maker culture, multidisciplinary perspectives, and the strengthening
of critical thinking skills.

UVGis known for its student-centered
approach and academic excellence grounded in values. Across our three campuses,
we provide financial aid and scholarships to high-potential students from
underserved communities, fostering equity and social mobility.

Our
graduates are recognized for their leadership, ethical commitment, and ability
to contribute to innovation and sustainable development in Guatemala and
beyond. UVG maintains strategic partnerships with leading universities and
institutions worldwide, promoting international collaboration, student and
faculty exchange, and joint research projects."
Universidade Federal Fluminense,https://www.topuniversities.com/universities/universidade-federal-fluminense,1346,Latin America,Brazil,"The Federal Fluminense University was created in 1960 with the Federal University name of the State of Rio de Janeiro (UFERJ). After being nationalized and incorporated this union was renamed Universidade Federal Fluminense. The mission of UFF is to produce, disseminate and apply knowledge and culture critically and socially relevant. The institution has academic units in eight municipalities in the state of Rio de Janeiro. Today, the UFF consists of 40  teaching units and 23 institutes, 10 faculties, 6 schools and 1 college application. Altogether there are 124  Departments of Education, 129 face Degree and6 Graduate Distance learning courses offered in 28 Polos the Open University of Brazil , inpartnership with the CEDERJ-RJ. In Postgraduate stricto sensu are 80 Postgraduate programs and 119 courses, with 42 PhD, 59 Masters and 18 Masters Academic Professionals. The Graduate Lato Sensu has 131 specialization courses and 32 medical residency programs.  In 2015, the UFF registered  6,305 students of Postgraduate stricto sensu, with 2,184 Doctoral, 3,072 in the Academic Master's and 1,049 in Masters Professionals. In Specialization recorded 212 medical residents and 11,943 students in the Specialization Distance.The UFF still has the Antonio Pedro University Hospital with 276 beds, the University Pharmacy and Application College. State of Pará. In addition to a Publisher and four bookstores in the Cultural Area, UFF has an Arts Centre,and an orchestra."
Universidade Federal da Bahia,https://www.topuniversities.com/universities/universidade-federal-da-bahia,1347,Latin America,Brazil,"The Federal University of Bahia – UFBA – is an institution part of the Brazilian Federal System of Higher Education, based in the city of Salvador, State of Bahia, where it offers 93 graduation courses and 123 post-graduation courses (master’s and doctorate), with approximately 39.000 registered students. Besides its headquarters, UFBA has a campus in the city of Vitória da Conquista – Bahia, which offers 7 graduation courses and 4 post-graduation courses, with about 1.000 registered students.

It is the eldest university of the region, acting in all fields of knowledge and with an important role in the education of qualified professionals with notable performance in academic research and extension, contributing to the scientific, technologic, artistic and cultural development, and reconciling an expanding international insertion and strong engagement in the commitment to the social, local and regional demands.

The Federal University of Bahia is oriented by a set of values, which guarantee the fulfillment of its institutional objectives, as discriminated in its Institutional Development Plan – PDI, available at https://proplan.ufba.br/documentacao-legislacao/pdi:

·       Inseparability between tuition, research and extension

·       Search for excellence in its activities and objectives

·       Respect to diversity and engagement against all forms of intolerance and discrimination

·       Intellectual openness and rigor, creativity and search for innovation

·       Valuing of people, dialogue, transparency and stimulation of cooperation

·       Respect to history and openness to contemporaneity

·       Ethical rigor in its decisions and actions

·       Search for equity in the access and permanence in the university

·       Pluralism of ideas, promotion of democratic values and citizenship

·       Commitment to the social transformation

·       Public, free and autonomous character for the university

·       Sustainability and environmental responsibility

A panorama of its dimensions and main activities performed in the last 70 years, ‘UFBA IN NUMBERS RETROSPECTIVE: SPECIAL 70 YEARS’, may be accessed at:

https://proplan.ufba.br/sites/proplan.ufba.br/files/UFBA%20in%20numbers%20Retrospective%20Special%2070%20Years_1.pdf."
Universidade Federal de Pernambuco (UFPE) ,https://www.topuniversities.com/universities/universidade-federal-de-pernambuco-ufpe,1348,Latin America,Brazil,"The Universidade Federal de Pernambuco was founded in 1946, in Recife, capital of the State of Pernambuco (UFPE). It is one of the best universities in the country in teaching (undergraduate and post graduate) and scientific research, and it is the best in the North-Northeast region, according to evaluations of the Ministries of Education (MEC) and Science and Technology (MCT). In recent years, with support from the Federal Government, UFPE expanded its operations - building two campuses in the interior of the state, in the cities of Vitória de Santo Antão and Caruaru - and created new courses in response to economic and social demands, such as Cinema, Archaeology, Museology, Dance, Information Systems, Materials Engineering, Energy Engineering and Naval Engineering."
Universidade Federal de Santa Maria,https://www.topuniversities.com/universities/universidade-federal-de-santa-maria,1349,Latin America,Brazil,"The Universidade Federal de Santa Maria (UFSM) is a prestigious tuition-free university located in an attractive medium-sized city in southern Brazil. The region is known for its safety, stunning beauty, high quality of life, diverse culture and friendly people. The region is considered a prominent center for paleontology and boasts two UNESCO Geoparks. It is located near Argentina and Uruguay.   In 2023, UFSM was ranked 13th among Brazilian Federal Universities. UFSM offers a wide variety of programs, with 130 undergraduate programs. UFSM’s undergraduate degree programs are divided into the following major areas of knowledge: Agricultural and Animal Sciences, Health Sciences, Natural and Exact Sciences, Humanities and Social Sciences, Languages and Arts, Education and Technology. The university prides itself on its commitment to providing a comprehensive education that encompasses a broad range of fields.   The university has a student body of approximately 27,000 undergraduate students enrolled in programs offered across its four campuses, with over 4,000 students enrolled in 108 graduate programs. UFSM has a reputation for excellence in research, with cutting-edge laboratories, a technology park, and a large campus with vast areas for field research. The university also has a teaching hospital and veterinary hospital, providing excellent hands-on training opportunities for students. The total area of the university is 4,604 acres, making it one of the largest and most comprehensive universities in Brazil."
Universidade Federal de Viçosa (UFV),https://www.topuniversities.com/universities/universidade-federal-de-vicosa-ufv,1350,Latin America,Brazil,"The Universidade Federal de Viçosa (UFV) stands out in national and international scene as a center of excellence in teaching, research and extension activities, ranked as one of the top ten universities in Brazil. It is internationally recognized for its graduate programs in Phytopathology, Entomology, Plant Physiology, Animal Science, Agricultural Microbiology, Genetics and Breeding, Soils and Plant Nutrition and Food Science and Technology. The UFV is composed of three campuses and offers 68 undergraduate and 49 graduate programs. The institution’s student body is composed of students from over 40 nationalities. Investing in a policy of  engagement and dissemination of knowledge, UFV offers opportunities of interchange programs, keeping agreements with nearly 100 institutions from 24 different countries. The UFV also offers a wide infrastructure that includes laboratories, forest reserves, library, sports and leisure areas, restaurants, banks, and medical services. The UFV is located in the state of Minas Gerais in southeastern Brazil. This region, besides having the most developed agriculture of the country, stands out for its industrial development, representing the most important economic region of Brazil. The Universidade Federal de Viçosa seeks effective dialogue with different political sectors and the civil society, renewing its commitment to the production and dissemination of knowledge, contributing to improving the quality of life in Brazil and worldwide. The Universidade Federal de Viçosa (UFV) stands out in national and international scene as a center of excellence in teaching, research and extension activities, ranked as one of the top ten universities in Brazil. It is internationally recognized for its graduate programs in Phytopathology, Entomology, Plant Physiology, Animal Science, Agricultural Microbiology, Genetics and Breeding, Soils and Plant Nutrition and Food Science and Technology. The UFV is composed of three campuses and offers 67 undergraduate and 47 graduate programs. The institution’s student body is composed of students from over 40 nationalities. Investing in a policy of engagement and dissemination of knowledge, UFV offers opportunities of interchange programs, keeping agreements with nearly 100 institutions from 24 different countries. The UFV also offers a wide infrastructure that includes laboratories, forest reserves, library, sports and leisure areas, restaurants, banks, and medical services. The UFV is located in the state of Minas Gerais in southeastern Brazil. This region, besides having the most developed agriculture of the country, stands out for its industrial development, representing the most important economic region of Brazil. The Universidade Federal de Viçosa seeks effective dialogue with different political sectors and the civil society, renewing its commitment to the production and dissemination of knowledge, contributing to improving the quality of life in Brazil and worldwide."
Universidade Federal do Ceará (UFC),https://www.topuniversities.com/universities/universidade-federal-do-ceara-ufc,1351,Latin America,Brazil,
Universidade Presbiteriana Mackenzie,https://www.topuniversities.com/universities/universidade-presbiteriana-mackenzie,1352,Latin America,Brazil,"Mackenzie Presbyterian University (Universidade Presbiteriana Mackenzie) is a private university in São Paulo, Brazil. The Mackenzie Presbyterian University is an institution of higher learning that has strong tradition and history in Brazil. It has campuses for undergraduate and postgraduate studies in São Paulo (Campus Higienópolis), Campinas and Barueri (Campus Alphaville).

Founded in 1870 as the American School, Mackenzie is one of the oldest institutions of higher education in Brazil. The university is regarded nationally and internationally as a center of excellence having graduated numerous important names in Brazilian history.

The nickname ""Mackenzista"" is often used to refer to present or former students of Mackenzie."
Universidade do Estado do Rio de Janeiro (UERJ),https://www.topuniversities.com/universities/universidade-do-estado-do-rio-de-janeiro-uerj,1353,Latin America,Brazil,"Rio de Janeiro State University (known as UERJ) was born in 1950 and has, since then, grown and established itself as one of the main higher education institutions in Brazil. Its importance in the national and international academic scene can be proved by the quality of its upper education, its scientifi c research, besides hundreds of extension projects related to the promotion of culture."
Università degli Studi di Urbino Carlo Bo - Carlo Bo University of Urbino,https://www.topuniversities.com/universities/universita-degli-studi-di-urbino,1354,Europe,Italy,"Carlo Bo University of Urbino (Università degli Studi di Urbino Carlo Bo) is located in Urbino and has an impressive history, as it was founded in 1506 and in the 1920s, gained recognition as an ""Independent University"".

The university used to be divided into 11 faculties, but since 2013, the institution adopted a department-based structure and is composed of the following 6 departments:"
Universitas Muhammadiyah Yogyakarta,https://www.topuniversities.com/universities/universitas-muhammadiyah-yogyakarta,1355,Asia,Indonesia,"Established in 1981, Universitas Muhammadiyah Yogyakarta (UMY) is located in Yogyakarta, Indonesia. Yogyakarta (also recognized as Yogya or Jogja) in the middle of Java Island.

Jogja is well-known as a traditional city. The local landscape offers several mountains, beaches, and tourist spots.

There are over 90 educational institutes in Jogja – making it a popular student option. The city is also very affordable for students.

Yogyakarta also has reliable city transportation. Students can easily access the city bus transportation ""Trans Jogja"", using a motorcycle ""ojek"" or calling for a cab. Online ride-hailing services such as Go-Jek and Grab are also available.

There are affordable amenities throughout Yogyakarta at stalls, mini markets, malls, and local traditional markets. Students can enjoy Yogyakarta traditional cuisine, as well as traditional Indonesian and international dishes.

As a modern Islamic University, UMY’s vision is to create leading and enlightening graduates. In line with its vision, UMY does not only direct its students to master the latest science and technology but it also guides the students to develop culturally and religiously in line with Islamic values.

Situated in Yogyakarta where culture and tradition are strongly preserved, UMY students will obtain balanced experience between a strong on-campus academic atmosphere and an enriching off-campus social life.

UMY provides many opportunities to engage socially-in activities as one of the most reputable and vibrant Universities in Indonesia. The university is committed to focusing not only on academics and research but also on community empowerment and social responsibility.

UMY offers exchange programmes, internships, summer courses, short courses, and double degree programmes – many in partnership with other universities.

UMY uses Indonesian as the main language for teaching. However, English is used for international classes including: International Relations (IPIREL), Law & Sharia (IPOLS), Islamic Economics & Finance (IPIEF), Government Affairs and Administration (IGOV), Accounting (IPAcc), Management and Business (IMaBs), Islamic Communication (IPICOM), and Communication Studies (IP-Cos)."
Universitas Pendidikan Indonesia,https://www.topuniversities.com/universities/universitas-pendidikan-indonesia,1356,Asia,Indonesia,"UPI was established on 20 October 1954 under the name Teacher Education and Training Colleges (PTPG). On 25 October 1958, PTPG became a Faculty of Education of Padjadjajaran University (UNPAD). On 1 May 1963, FKIP and other Teacher Education Institutes merged into the Institute for Teacher Training and Pedagogy (IKIP Bandung) with the main responsibility of preparing junior and senior high school teachers. In 1990, UPI was also responsible for preparing pre-school and primary school teachers through diploma and later undergraduate program. On 7 October 1999, IKIP Bandung changed its nomenclature to Universitas Pendidikan Indonesia, which is responsible for preparing not only prospective teachers but also those who will work in noneducation fields. UPI has a School of Postgraduate Studies and eight faculties which run undergraduate and diploma programs. Those eight faculties are Faculty of Educational Sciences, Faculty of Social Studies Education, Faculty of Language and Literature Education, Faculty of Mathematics and Science Education, Faculty of Technology and Vocational Education, and Faculty of Physical and Health Education, Faculty of Economy and Business Education, and Faculty of Arts and Design Education. UPI currently has about 32,000 students whose figure shows a 5% annual increase and employs 1,327 teaching staff, many of whom have gain international recognition, and 1189 administrative staff. At its 65 years of age, it has produced 188.306 graduates. The alumni spread all over the country and work as educational professionals or policy makers in various government bodies. Starting in 2019, UPI is appointed by the Indonesian government to become the Center of Excellence for Vocational Teacher Education (COE for TVET) to support the government ambition to produce more competent and competitive vocational workers."
Universitas Trisakti (USAKTI),https://www.topuniversities.com/universities/universitas-trisakti-usakti,1357,Asia,Indonesia,"Universitas Trisakti (USAKTI)is located in Jakarta, Indonesia and offers 47 study programmes spread throughout nine faculties including diploma, bachelor’s, master’s, doctoral, and professional degree levels.

Universitas Trisakti is a private university that has achieved much since its establishment in 1965. It possesses an A accreditation rank from BAN-PT, and ranks 27th of all universities in Indonesia. It is one of a few universities that possess five stars for Teaching Quality in the QS Stars assessment. More than 50% of the study programs have an A rank accreditation and some of them have even qualified with Superior predicate.

Some of the study programs obtain certification from AUN-QA and ISO 9001:2015. Universitas Trisakti has almost 150,000 alumni spread throughout the world: from government to private sectors as entrepreneurs and competent leaders in their respective field. The USAKTI alumni association is a strong, diverse and effective network.

Find out moreabout life at Universitas Trisakti via its social media channels, includingFacebook,Instagram,TwitterandYouTube."
Universitatea de Vest din Timisoara /  West University of Timisoara,https://www.topuniversities.com/universities/universitatea-de-vest-din-timisoara-west-university-timisoara,1358,Europe,Romania,"The University was founded by the decree law no. 660 issued on 30 December 1944, which stipulates that a university must be created in western Romania. Its first faculties either were dissolved or became independent institutions. These independent higher education institutions became a sole university at the end of September 1962. By 1968, our institution had become an independent university, with a prestigious academic staff; this was the ideal for which many leading Romanian intellectuals, especially those from the Banat region, had fought. Unfortunately, there followed a difficult period for Humanities and Exact Sciences. Fields of study such as Music, Fine arts, History, Geography, Biology, and Chemistry disappeared one by one; Philology was considerably reduced. As a result, many of the faculties were transferred to other institutions. 1989, the year of the Romanian revolution, was a turning point in the evolution of our university. It led to the present-day conditions. That is why the current structures and achievements make the University a trusted partner. An essential mentality change took place in the perception of the academic institution, in accordance with the democratic institutions in Western Europe. A substantial institutional reform was carried out, beginning with the redefining of the university’s mission by establishing its objectives."
Universiti Kuala Lumpur (UniKL),https://www.topuniversities.com/universities/universiti-kuala-lumpur-unikl,1359,Asia,Malaysia,"Universiti Kuala Lumpur (UniKL) is a leading university in engineering technology established on 20 August 2002. Wholly owned by Majlis Amanah Rakyat (MARA), an agency under the Ministry of Rural and Regional Development (KKLW), Malaysia, the university is given the mandate to upgrade the status of technical education in Malaysia by the government. As the nation expects more from a technical higher learning institutions, UniKL mould its graduate with strong technological knowledge and astute entrepreneurial skills who would later fulfill the current demand of the industries. UniKL's 14 branch institutes offer various foundation, diploma, undergraduate and postgraduate programmes. With the concept of ‘One Institute, One Specialisation', UniKL contributes not only to tertiary education but also researches and development for commercialisation purposes. Strategically located all over peninsular Malaysia, UniKL's branch institutes offer various programmes in theirs niche areas of specialisation.

At Present, UniKL Boasts a total of 29, 043 students. Since its inception, UniKL has produced 37,210 graduates. Graduates of UniKL have successfully established their careers or become successful entrepreneurs in local and international arena."
Universiti Malaysia Kelantan,https://www.topuniversities.com/universities/universiti-malaysia-kelantan,1360,Asia,Malaysia,"HISTORY OF UMKThe establishment of a university in Kelantan was made as a component in the Ninth Malaysia Plan to support the quality of human capital development in the higher education sector. The federal agreement was announced by the Prime Minister on the 31 March 2006 in the Ninth Malaysia Plan proposal.The establishment of the university was approved in the Cabinet Meeting on 14 June 2006. The cabinet has specified that the philosophy of the curriculum in UMK should be based on entrepreneurship and enterprise education in all the study programmes.

Therefore, taglines such as ""Entrepreneurship is Our Thrust"" and ""Entrepreneurial University"" are widely used to promote the philosophy of this university. Specialised studies for short and moderate term are grouped into three main fields of studies, namely:

1. Entrepreneurship and Business;

2. Creative Technology and Heritage;

3. Agro-Based Industry and Earth Sciences

Apart from the three fields of studies, the significant emphasis would be given to acquiring languages and the development of soft skills. These learning programs aim is to produce high-quality human capital with a first class mentality and exemplary entrepreneurship attributes. It is hoped that this would contribute to the global prosperity by improving the capability and capacity of Small and Medium Enterprises (SME), and also towards the development of a highly entrepreneurial commercial society. In line with all areas of study, Information and Communication Technology (ICT) is employed as an enabler."
UNIVERSITI TEKNIKAL MALAYSIA MELAKA,https://www.topuniversities.com/universities/universiti-teknikal-malaysia-melaka,1361,Asia,Malaysia,"Universiti Teknikal Malaysia Melaka (UTeM) was established on December 1, 2000. UTeM pioneers the “practice and application oriented” teaching and learning methodology for higher technical education in Malaysia. This is in accordance with the government’s decision to cater for high technical-skilled human resource needs of Malaysia’s industries.UTeM has seven distinct faculties which provide in-depth specialization in engineering, engineering technology, ICT and technology management disciplines along with the Institute of Technology Management and Tecnopreneurship and Centre for Languages and Human Development. The university offers academic programs at Diploma, Bachelor, Masters and PhD levels.The programmes offered at UTeM are highly specialised. Currently, UTeM offers 10 engineering technology programs with the highest student enrolment of 2,600, which also represents 60% of total student enrolment at UTeM. The curriculum is developed closely with industry experts and aligned to the national agenda for Technical and Vocational Education and Training (TVET) to ensure its quality and relevance meet the needs of the thriving industrial sectors and further produces highly-skilled human resources for the development of Malaysia towards a high-income nation by 2020.UTeM admits not only local but also international students and this includes students from Indonesia, Korea, Saudi Arabia, India, Singapore, Palestine, among others."
University POLITEHNICA of Bucharest,https://www.topuniversities.com/universities/university-politehnica-bucharest,1362,Europe,Romania,
University of Babylon,https://www.topuniversities.com/universities/university-babylon,1363,Asia,Iraq,"The university of Babylon is a non-profit comprehensive public higher education institution. It was established on the 25th of Apr, 1991,  90 km south of the capital Baghdad in Babil governorate . Officially accredited/recognized by the Ministry of Higher Education and  Scientific Research. The university has twenty colleges/ faculties  and nine scientific and cultural centers as well as nine  scientific and educational journals. University of Babylon is a comprehensive multi-disciplines academic institutions, offers  various degrees under and post graduate degrees  according to its 2000  academic staff in multi specializations. University offers scholarships with full funded fees especially to applicants from developing countries that is within its strategic plan to support global sustainable developing goals . About 25000 undergraduate students and about 1500 postgraduate students are attending the university. University of Babylon also provides several academic and non-academic facilities,  student services including libraries, housing, sport facilities and volunteer activities, financial aids and scholarships. University welcomes to participate and activate international collaboration and cultural exchange  programs."
University of Basrah,https://www.topuniversities.com/universities/university-basrah,1364,Asia,Iraq,"The University of Basrah stands as the most ancient and largest institution of higher education in the southern region of Iraq. Established in 1964, it was designed to address the educational requirements of the local populace. At present, the university comprises 21 colleges and 9 research centers, including the Marine Sciences Centre, Date-Palm Research Center, Center of Polymers, Center for Arabian Gulf Studies, and Center for Life Languages, among others. The institution possesses a historical museum that houses an impressive collection of artifacts. The university is distributed across five primary campuses within the Basrah province: The initial campus, which serves as the university's main office, is located in the urban center of Basrah City in Al-Ashar, adjacent to the banks of the Shat Al-Arab river. The second campus is situated to the west of the city center in Bab-Al-Zubair and accommodates Al Zahraa College of Medicine alongside the Colleges of Arts, Fine Arts, Law, Administration and Economics, Education for Women, various research centers, and the Central Library. The subsequent campus is positioned to the north of the city, in Hartha (Garmat Ali), and includes the Colleges of Engineering, Sciences, Education for Physical Sciences, Education for Humanities, Agriculture, Veterinary Medicine, Physical Education and Sport Sciences, Pharmacy, Computer Sciences and Information Technology, Marine Sciences, as well as several research centers.

The third campus is located to the east of the city in Al-Bradeiae and comprises the Colleges of Health Sciences, including Basrah College of Medicine, College of Dentistry, and College of Nursing at Basrah Teaching Hospital, in addition to the College of Education situated in Qurnah, approximately 80 kilometers north of Basrah. This campus is equipped with a science museum and a medicine museum, which is part of the College of Medicine. Furthermore, it includes a consulting medical center, numerous teaching hospitals, and a new university hospital currently under construction. The governance of the university is overseen by a council consisting of 29 members, including the Chancellor (currently Professor Dr. Saad Shaheen Hammadi, a Consultant in Internal Medicine), two vice-chancellors (one responsible for scientific affairs and the other for administrative matters), Deans from the 22 colleges, representatives from the faculty staff and research centers, the Head of the Department of Quality and Academic Performance, and the council's rapporteur. The Chancellery office is strategically located along the Shat Al-Arab waterway, in proximity to the Central Bank. As of now, the University of Basrah employs over 2,818 faculty members, which includes 304 full professors. The total enrollment of undergraduate students is 38,101. Advanced study programs are offered in the majority of the university's colleges; thus far, 139 PhD programs and 399 Master's programs across various disciplines have been conferred. The university publishes 22 scientific journals across diverse specialties and maintains cultural affiliations with numerous institutions globally, including those in the USA (Arkansas and Houston) and Iran (Esfahan, Shaheed Jumran, Tabriz). Recently, the university established a FOOD BANK to support students living below the poverty line. The institution is committed to sustainability within its campuses and the broader community, with further details available at https://en.sustainability.uobasrah.edu.iq/"
University of Derby,https://www.topuniversities.com/universities/university-derby,1365,Europe,United Kingdom,"Located in the heart of England, we are the only university in Derby and Derbyshire. We offer industry-relevant, research-informed courses, expert teaching and strong industry links which create unrivalled career opportunities. We partner for impact, meaning that we are committed to creating a collaborative environment where graduate talent can flourish.

The city of Derby has a long-standing reputation for extraordinary innovation which the University of Derby aims to build upon, using our knowledge to support the prosperity of our region, nation and the world.

We are awarded Gold in the prestigious Teaching Excellence Framework (TEF) 2023, making us one of the top universities in the country recognised for outstanding student experience and student outcomes. We are ranked 4th for employability, 5th for course quality and 15th overall in the Uni Compare Annual Student Review Rankings 2025, we are focused on preparing students for a successful future.

Proudly named Top 25 in the UK for overall student satisfaction in the Complete University Guide 2025 and Top 25 for teaching quality in the Times and Sunday Times Good University Guide 2025.

What makes us different?

We are a problem centric, solution focused University with a strong philosophy around shaping tomorrow, today.

Our students, graduates and staff are making an impact in our region and around the world by using their expertise and experience to drive innovation and make positive changes. You can be part of that story.

We are continuously investing in our facilities and will soon be adding a £14.4 million Bioscience Superlab. A brand-new state-of-the-art Business School is also set to open near the city centre as a modern, zero carbon hub for students and start-up companies to learn, network and prosper.

The University of Derby ranked in the Top 15 for satisfaction with feedback in the Guardian University Guide 2025, and Top 20 for overall assessment and feedback in the National Student Survey 2024.

We have a strong awareness of our environmental impact and we aim to bring sustainability into all aspects of our teaching, research, operational and international activities."
